regulon,hallmark,linScore,wangScore,jiangScore
6,Self_Sufficiency_In_Growth_Signals,1,1,1
6,Insensitivity_To_Antigrowth_Signals,1,1,1
6,Evading_Apoptosis,0.869,0.828,0.882
6,Limitless_Replicative_Potential,1,1,1
6,Sustained_Angiogenesis,1,1,1
6,Tissue_Invasion_And_Metastasis,1,1,1
6,Genome_Instability_And_Mutation,1,1,1
6,Tumor_Promoting_Inflammation,0.953,0.746,0.956
6,Reprogramming_Energy_Metabolism,0.947,0.604,0.94
6,Evading_ImmuneDetection,0.888,0.86,0.907
7,Self_Sufficiency_In_Growth_Signals,0.748,0.915,0.776
7,Insensitivity_To_Antigrowth_Signals,0.768,0.915,0.806
7,Evading_Apoptosis,0.494,0.428,0.572
7,Limitless_Replicative_Potential,0.685,0.635,0.701
7,Sustained_Angiogenesis,0.871,0.691,0.879
7,Tissue_Invasion_And_Metastasis,0.957,0.825,0.964
7,Genome_Instability_And_Mutation,0.914,0.932,0.925
7,Tumor_Promoting_Inflammation,0.86,0.704,0.875
7,Reprogramming_Energy_Metabolism,0.774,0.585,0.767
7,Evading_ImmuneDetection,0.847,0.739,0.875
8,Self_Sufficiency_In_Growth_Signals,0.716,0.809,0.772
8,Insensitivity_To_Antigrowth_Signals,0.812,0.809,0.839
8,Evading_Apoptosis,0.869,0.751,0.882
8,Limitless_Replicative_Potential,0.768,0.626,0.748
8,Sustained_Angiogenesis,0.606,0.459,0.53
8,Tissue_Invasion_And_Metastasis,0.932,0.813,0.942
8,Genome_Instability_And_Mutation,0.963,0.679,0.963
8,Tumor_Promoting_Inflammation,1,1,1
8,Reprogramming_Energy_Metabolism,0.935,0.484,0.931
8,Evading_ImmuneDetection,0.847,0.831,0.875
9,Self_Sufficiency_In_Growth_Signals,1,1,1
9,Insensitivity_To_Antigrowth_Signals,1,1,1
9,Evading_Apoptosis,0.492,0.467,0.569
9,Limitless_Replicative_Potential,0.942,0.756,0.94
9,Sustained_Angiogenesis,0.544,0.511,0.577
9,Tissue_Invasion_And_Metastasis,1,1,1
9,Genome_Instability_And_Mutation,0.969,0.903,0.966
9,Tumor_Promoting_Inflammation,0.882,0.746,0.907
9,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
9,Evading_ImmuneDetection,0.882,0.746,0.907
10,Self_Sufficiency_In_Growth_Signals,0.979,0.805,0.981
10,Insensitivity_To_Antigrowth_Signals,1,1,1
10,Evading_Apoptosis,0.869,0.611,0.882
10,Limitless_Replicative_Potential,0.653,0.517,0.654
10,Sustained_Angiogenesis,0.446,0.499,0.505
10,Tissue_Invasion_And_Metastasis,0.517,0.543,0.575
10,Genome_Instability_And_Mutation,0.746,0.932,0.745
10,Tumor_Promoting_Inflammation,0.548,0.388,0.63
10,Reprogramming_Energy_Metabolism,0.927,0.604,0.919
10,Evading_ImmuneDetection,0.706,0.723,0.739
11,Self_Sufficiency_In_Growth_Signals,0.966,0.771,0.963
11,Insensitivity_To_Antigrowth_Signals,0.85,0.771,0.842
11,Evading_Apoptosis,0.48,0.467,0.547
11,Limitless_Replicative_Potential,0.743,0.564,0.712
11,Sustained_Angiogenesis,0.871,0.691,0.879
11,Tissue_Invasion_And_Metastasis,0.947,0.886,0.955
11,Genome_Instability_And_Mutation,0.701,0.66,0.738
11,Tumor_Promoting_Inflammation,0.632,0.512,0.6
11,Reprogramming_Energy_Metabolism,0.678,0.484,0.663
11,Evading_ImmuneDetection,0.481,0.429,0.56
12,Self_Sufficiency_In_Growth_Signals,1,1,1
12,Insensitivity_To_Antigrowth_Signals,1,1,1
12,Evading_Apoptosis,0.869,0.751,0.882
12,Limitless_Replicative_Potential,0.797,0.453,0.772
12,Sustained_Angiogenesis,1,1,1
12,Tissue_Invasion_And_Metastasis,0.964,0.909,0.964
12,Genome_Instability_And_Mutation,0.876,0.561,0.872
12,Tumor_Promoting_Inflammation,0.757,0.443,0.765
12,Reprogramming_Energy_Metabolism,0.75,0.312,0.717
12,Evading_ImmuneDetection,0.548,0.5,0.63
13,Self_Sufficiency_In_Growth_Signals,0.84,0.847,0.854
13,Insensitivity_To_Antigrowth_Signals,0.812,0.847,0.839
13,Evading_Apoptosis,0.869,0.828,0.882
13,Limitless_Replicative_Potential,0.766,0.547,0.745
13,Sustained_Angiogenesis,1,1,1
13,Tissue_Invasion_And_Metastasis,0.857,0.88,0.868
13,Genome_Instability_And_Mutation,0.785,0.708,0.771
13,Tumor_Promoting_Inflammation,0.548,0.381,0.63
13,Reprogramming_Energy_Metabolism,1,1,1
13,Evading_ImmuneDetection,0.548,0.374,0.63
14,Self_Sufficiency_In_Growth_Signals,1,1,1
14,Insensitivity_To_Antigrowth_Signals,1,1,1
14,Evading_Apoptosis,0.869,0.751,0.882
14,Limitless_Replicative_Potential,1,1,1
14,Sustained_Angiogenesis,1,1,1
14,Tissue_Invasion_And_Metastasis,1,1,1
14,Genome_Instability_And_Mutation,1,1,1
14,Tumor_Promoting_Inflammation,1,1,1
14,Reprogramming_Energy_Metabolism,0.991,0.659,0.989
14,Evading_ImmuneDetection,1,1,1
15,Self_Sufficiency_In_Growth_Signals,1,1,1
15,Insensitivity_To_Antigrowth_Signals,1,1,1
15,Evading_Apoptosis,0.869,0.611,0.882
15,Limitless_Replicative_Potential,1,1,1
15,Sustained_Angiogenesis,0.791,0.665,0.792
15,Tissue_Invasion_And_Metastasis,0.706,0.571,0.726
15,Genome_Instability_And_Mutation,1,1,1
15,Tumor_Promoting_Inflammation,0.926,0.746,0.925
15,Reprogramming_Energy_Metabolism,0.732,0.585,0.726
15,Evading_ImmuneDetection,0.926,0.746,0.925
16,Self_Sufficiency_In_Growth_Signals,0.603,0.809,0.756
16,Insensitivity_To_Antigrowth_Signals,0.603,0.809,0.756
16,Evading_Apoptosis,0.48,0.467,0.547
16,Limitless_Replicative_Potential,0.768,0.626,0.748
16,Sustained_Angiogenesis,0.738,0.516,0.753
16,Tissue_Invasion_And_Metastasis,0.947,0.82,0.955
16,Genome_Instability_And_Mutation,0.787,0.656,0.774
16,Tumor_Promoting_Inflammation,0.734,0.84,0.787
16,Reprogramming_Energy_Metabolism,0.935,0.484,0.931
16,Evading_ImmuneDetection,0.744,0.84,0.81
17,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
17,Insensitivity_To_Antigrowth_Signals,1,1,1
17,Evading_Apoptosis,0.799,0.644,0.833
17,Limitless_Replicative_Potential,0.747,0.614,0.697
17,Sustained_Angiogenesis,0.94,0.735,0.948
17,Tissue_Invasion_And_Metastasis,0.83,0.571,0.864
17,Genome_Instability_And_Mutation,0.866,0.747,0.852
17,Tumor_Promoting_Inflammation,0.547,0.43,0.628
17,Reprogramming_Energy_Metabolism,1,1,1
17,Evading_ImmuneDetection,0.706,0.723,0.739
18,Self_Sufficiency_In_Growth_Signals,0.603,0.915,0.756
18,Insensitivity_To_Antigrowth_Signals,0.677,0.915,0.756
18,Evading_Apoptosis,0.447,0.428,0.483
18,Limitless_Replicative_Potential,0.791,0.626,0.779
18,Sustained_Angiogenesis,0.94,0.735,0.948
18,Tissue_Invasion_And_Metastasis,0.806,0.543,0.816
18,Genome_Instability_And_Mutation,1,1,1
18,Tumor_Promoting_Inflammation,0.726,0.401,0.742
18,Reprogramming_Energy_Metabolism,0.687,0.492,0.68
18,Evading_ImmuneDetection,0.608,0.529,0.713
19,Self_Sufficiency_In_Growth_Signals,0.941,0.847,0.942
19,Insensitivity_To_Antigrowth_Signals,1,1,1
19,Evading_Apoptosis,0.492,0.448,0.569
19,Limitless_Replicative_Potential,1,1,1
19,Sustained_Angiogenesis,0.603,0.666,0.578
19,Tissue_Invasion_And_Metastasis,0.83,0.539,0.864
19,Genome_Instability_And_Mutation,1,1,1
19,Tumor_Promoting_Inflammation,0.726,0.466,0.742
19,Reprogramming_Energy_Metabolism,0.914,0.475,0.906
19,Evading_ImmuneDetection,0.544,0.466,0.623
20,Self_Sufficiency_In_Growth_Signals,0.807,0.847,0.806
20,Insensitivity_To_Antigrowth_Signals,0.792,0.85,0.816
20,Evading_Apoptosis,0.494,0.337,0.572
20,Limitless_Replicative_Potential,0.56,0.554,0.554
20,Sustained_Angiogenesis,1,1,1
20,Tissue_Invasion_And_Metastasis,0.938,0.825,0.947
20,Genome_Instability_And_Mutation,0.581,0.66,0.645
20,Tumor_Promoting_Inflammation,0.734,0.582,0.787
20,Reprogramming_Energy_Metabolism,0.589,0.372,0.58
20,Evading_ImmuneDetection,0.734,0.559,0.787
21,Self_Sufficiency_In_Growth_Signals,1,1,1
21,Insensitivity_To_Antigrowth_Signals,1,1,1
21,Evading_Apoptosis,0.76,0.467,0.811
21,Limitless_Replicative_Potential,0.942,0.756,0.94
21,Sustained_Angiogenesis,0.777,0.571,0.771
21,Tissue_Invasion_And_Metastasis,0.811,0.642,0.847
21,Genome_Instability_And_Mutation,1,1,1
21,Tumor_Promoting_Inflammation,0.726,0.491,0.742
21,Reprogramming_Energy_Metabolism,0.732,0.402,0.726
21,Evading_ImmuneDetection,0.544,0.429,0.623
22,Self_Sufficiency_In_Growth_Signals,0.541,0.77,0.687
22,Insensitivity_To_Antigrowth_Signals,0.541,0.77,0.687
22,Evading_Apoptosis,0.224,0.277,0.347
22,Limitless_Replicative_Potential,0.633,0.614,0.622
22,Sustained_Angiogenesis,0.293,0.343,0.165
22,Tissue_Invasion_And_Metastasis,0.464,0.343,0.57
22,Genome_Instability_And_Mutation,0.806,0.932,0.809
22,Tumor_Promoting_Inflammation,0.498,0.388,0.555
22,Reprogramming_Energy_Metabolism,0.7,0.468,0.652
22,Evading_ImmuneDetection,0.357,0.388,0.458
23,Self_Sufficiency_In_Growth_Signals,1,1,1
23,Insensitivity_To_Antigrowth_Signals,1,1,1
23,Evading_Apoptosis,0.748,0.701,0.798
23,Limitless_Replicative_Potential,0.896,0.756,0.889
23,Sustained_Angiogenesis,1,1,1
23,Tissue_Invasion_And_Metastasis,1,1,1
23,Genome_Instability_And_Mutation,0.91,0.835,0.909
23,Tumor_Promoting_Inflammation,1,1,1
23,Reprogramming_Energy_Metabolism,0.927,0.604,0.919
23,Evading_ImmuneDetection,1,1,1
24,Self_Sufficiency_In_Growth_Signals,1,1,1
24,Insensitivity_To_Antigrowth_Signals,1,1,1
24,Evading_Apoptosis,0.841,0.519,0.871
24,Limitless_Replicative_Potential,1,1,1
24,Sustained_Angiogenesis,1,1,1
24,Tissue_Invasion_And_Metastasis,1,1,1
24,Genome_Instability_And_Mutation,1,1,1
24,Tumor_Promoting_Inflammation,0.734,0.582,0.787
24,Reprogramming_Energy_Metabolism,0.946,0.643,0.942
24,Evading_ImmuneDetection,0.734,0.739,0.787
25,Self_Sufficiency_In_Growth_Signals,0.459,0.454,0.639
25,Insensitivity_To_Antigrowth_Signals,0.459,0.454,0.639
25,Evading_Apoptosis,0.799,0.644,0.833
25,Limitless_Replicative_Potential,0.557,0.5,0.562
25,Sustained_Angiogenesis,0.41,0.301,0.313
25,Tissue_Invasion_And_Metastasis,0.533,0.5,0.57
25,Genome_Instability_And_Mutation,0.668,0.528,0.708
25,Tumor_Promoting_Inflammation,0.519,0.491,0.591
25,Reprogramming_Energy_Metabolism,0.985,0.604,0.983
25,Evading_ImmuneDetection,0.357,0.373,0.494
26,Self_Sufficiency_In_Growth_Signals,0.484,0.556,0.668
26,Insensitivity_To_Antigrowth_Signals,0.484,0.556,0.668
26,Evading_Apoptosis,0.759,0.631,0.814
26,Limitless_Replicative_Potential,0.645,0.554,0.548
26,Sustained_Angiogenesis,0.616,0.507,0.645
26,Tissue_Invasion_And_Metastasis,0.953,0.813,0.956
26,Genome_Instability_And_Mutation,0.57,0.66,0.629
26,Tumor_Promoting_Inflammation,0.953,0.552,0.956
26,Reprogramming_Energy_Metabolism,1,1,1
26,Evading_ImmuneDetection,0.643,0.529,0.738
27,Self_Sufficiency_In_Growth_Signals,0.806,0.847,0.851
27,Insensitivity_To_Antigrowth_Signals,0.841,0.847,0.844
27,Evading_Apoptosis,0.869,0.611,0.882
27,Limitless_Replicative_Potential,0.56,0.605,0.564
27,Sustained_Angiogenesis,0.544,0.58,0.577
27,Tissue_Invasion_And_Metastasis,0.953,0.813,0.956
27,Genome_Instability_And_Mutation,0.963,0.747,0.963
27,Tumor_Promoting_Inflammation,1,1,1
27,Reprogramming_Energy_Metabolism,0.774,0.585,0.767
27,Evading_ImmuneDetection,0.702,0.559,0.738
28,Self_Sufficiency_In_Growth_Signals,0.909,0.819,0.911
28,Insensitivity_To_Antigrowth_Signals,0.685,0.795,0.763
28,Evading_Apoptosis,0.403,0.467,0.424
28,Limitless_Replicative_Potential,0.716,0.564,0.712
28,Sustained_Angiogenesis,0.568,0.643,0.386
28,Tissue_Invasion_And_Metastasis,0.947,0.82,0.955
28,Genome_Instability_And_Mutation,0.691,0.66,0.738
28,Tumor_Promoting_Inflammation,0.547,0.401,0.628
28,Reprogramming_Energy_Metabolism,0.667,0.484,0.654
28,Evading_ImmuneDetection,0.914,0.86,0.922
29,Self_Sufficiency_In_Growth_Signals,0.806,0.819,0.851
29,Insensitivity_To_Antigrowth_Signals,0.711,0.795,0.763
29,Evading_Apoptosis,0.695,0.689,0.736
29,Limitless_Replicative_Potential,0.685,0.635,0.701
29,Sustained_Angiogenesis,0.891,0.918,0.895
29,Tissue_Invasion_And_Metastasis,1,1,1
29,Genome_Instability_And_Mutation,0.806,0.932,0.809
29,Tumor_Promoting_Inflammation,0.734,0.582,0.787
29,Reprogramming_Energy_Metabolism,0.732,0.484,0.726
29,Evading_ImmuneDetection,0.734,0.639,0.794
30,Self_Sufficiency_In_Growth_Signals,0.756,0.847,0.8
30,Insensitivity_To_Antigrowth_Signals,0.812,0.847,0.839
30,Evading_Apoptosis,0.869,0.611,0.882
30,Limitless_Replicative_Potential,1,1,1
30,Sustained_Angiogenesis,0.447,0.52,0.506
30,Tissue_Invasion_And_Metastasis,0.83,0.543,0.864
30,Genome_Instability_And_Mutation,0.832,0.765,0.817
30,Tumor_Promoting_Inflammation,0.548,0.43,0.63
30,Reprogramming_Energy_Metabolism,0.732,0.408,0.726
30,Evading_ImmuneDetection,0.914,0.86,0.922
31,Self_Sufficiency_In_Growth_Signals,0.84,0.847,0.854
31,Insensitivity_To_Antigrowth_Signals,0.812,0.847,0.839
31,Evading_Apoptosis,0.869,0.828,0.882
31,Limitless_Replicative_Potential,0.766,0.547,0.745
31,Sustained_Angiogenesis,0.777,0.58,0.742
31,Tissue_Invasion_And_Metastasis,0.857,0.88,0.868
31,Genome_Instability_And_Mutation,0.785,0.708,0.771
31,Tumor_Promoting_Inflammation,0.548,0.381,0.63
31,Reprogramming_Energy_Metabolism,1,1,1
31,Evading_ImmuneDetection,0.914,0.86,0.922
32,Self_Sufficiency_In_Growth_Signals,0.909,0.847,0.911
32,Insensitivity_To_Antigrowth_Signals,0.715,0.847,0.726
32,Evading_Apoptosis,0.417,0.467,0.417
32,Limitless_Replicative_Potential,0.817,0.55,0.821
32,Sustained_Angiogenesis,0.451,0.58,0.221
32,Tissue_Invasion_And_Metastasis,0.957,0.825,0.964
32,Genome_Instability_And_Mutation,0.891,0.66,0.902
32,Tumor_Promoting_Inflammation,0.781,0.579,0.745
32,Reprogramming_Energy_Metabolism,0.526,0.389,0.497
32,Evading_ImmuneDetection,0.914,0.86,0.922
33,Self_Sufficiency_In_Growth_Signals,1,1,1
33,Insensitivity_To_Antigrowth_Signals,1,1,1
33,Evading_Apoptosis,0.869,0.828,0.882
33,Limitless_Replicative_Potential,1,1,1
33,Sustained_Angiogenesis,1,1,1
33,Tissue_Invasion_And_Metastasis,1,1,1
33,Genome_Instability_And_Mutation,1,1,1
33,Tumor_Promoting_Inflammation,1,1,1
33,Reprogramming_Energy_Metabolism,0.947,0.643,0.94
33,Evading_ImmuneDetection,1,1,1
34,Self_Sufficiency_In_Growth_Signals,1,1,1
34,Insensitivity_To_Antigrowth_Signals,1,1,1
34,Evading_Apoptosis,0.756,0.828,0.747
34,Limitless_Replicative_Potential,0.716,0.524,0.712
34,Sustained_Angiogenesis,0.93,0.701,0.939
34,Tissue_Invasion_And_Metastasis,1,1,1
34,Genome_Instability_And_Mutation,0.932,0.835,0.93
34,Tumor_Promoting_Inflammation,0.844,0.611,0.852
34,Reprogramming_Energy_Metabolism,1,1,1
34,Evading_ImmuneDetection,0.821,0.586,0.848
35,Self_Sufficiency_In_Growth_Signals,0.635,0.915,0.695
35,Insensitivity_To_Antigrowth_Signals,0.622,0.915,0.684
35,Evading_Apoptosis,0.799,0.701,0.833
35,Limitless_Replicative_Potential,0.633,0.614,0.622
35,Sustained_Angiogenesis,0.791,0.598,0.792
35,Tissue_Invasion_And_Metastasis,0.587,0.543,0.639
35,Genome_Instability_And_Mutation,0.74,0.679,0.738
35,Tumor_Promoting_Inflammation,0.645,0.582,0.647
35,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
35,Evading_ImmuneDetection,0.914,0.86,0.922
36,Self_Sufficiency_In_Growth_Signals,0.804,0.847,0.849
36,Insensitivity_To_Antigrowth_Signals,1,1,1
36,Evading_Apoptosis,0.869,0.701,0.882
36,Limitless_Replicative_Potential,0.574,0.601,0.564
36,Sustained_Angiogenesis,1,1,1
36,Tissue_Invasion_And_Metastasis,1,1,1
36,Genome_Instability_And_Mutation,1,1,1
36,Tumor_Promoting_Inflammation,0.812,0.639,0.799
36,Reprogramming_Energy_Metabolism,1,1,1
36,Evading_ImmuneDetection,0.734,0.723,0.787
37,Self_Sufficiency_In_Growth_Signals,1,1,1
37,Insensitivity_To_Antigrowth_Signals,1,1,1
37,Evading_Apoptosis,0.841,0.519,0.871
37,Limitless_Replicative_Potential,1,1,1
37,Sustained_Angiogenesis,0.902,0.639,0.887
37,Tissue_Invasion_And_Metastasis,0.957,0.825,0.964
37,Genome_Instability_And_Mutation,1,1,1
37,Tumor_Promoting_Inflammation,1,1,1
37,Reprogramming_Energy_Metabolism,1,1,1
37,Evading_ImmuneDetection,0.82,0.768,0.848
38,Self_Sufficiency_In_Growth_Signals,0.806,0.847,0.851
38,Insensitivity_To_Antigrowth_Signals,0.711,0.847,0.748
38,Evading_Apoptosis,0.688,0.689,0.728
38,Limitless_Replicative_Potential,0.48,0.431,0.466
38,Sustained_Angiogenesis,0.542,0.459,0.561
38,Tissue_Invasion_And_Metastasis,0.605,0.543,0.664
38,Genome_Instability_And_Mutation,0.811,0.485,0.8
38,Tumor_Promoting_Inflammation,0.744,0.489,0.738
38,Reprogramming_Energy_Metabolism,0.558,0.224,0.525
38,Evading_ImmuneDetection,0.744,0.831,0.81
39,Self_Sufficiency_In_Growth_Signals,0.84,0.915,0.854
39,Insensitivity_To_Antigrowth_Signals,0.745,0.915,0.773
39,Evading_Apoptosis,0.799,0.701,0.833
39,Limitless_Replicative_Potential,0.676,0.564,0.688
39,Sustained_Angiogenesis,0.624,0.446,0.644
39,Tissue_Invasion_And_Metastasis,0.855,0.652,0.888
39,Genome_Instability_And_Mutation,0.909,0.88,0.895
39,Tumor_Promoting_Inflammation,0.538,0.491,0.6
39,Reprogramming_Energy_Metabolism,0.732,0.585,0.726
39,Evading_ImmuneDetection,0.706,0.723,0.739
40,Self_Sufficiency_In_Growth_Signals,0.601,0.73,0.696
40,Insensitivity_To_Antigrowth_Signals,0.585,0.73,0.696
40,Evading_Apoptosis,0.76,0.728,0.811
40,Limitless_Replicative_Potential,0.701,0.564,0.677
40,Sustained_Angiogenesis,0.589,0.538,0.517
40,Tissue_Invasion_And_Metastasis,0.947,0.82,0.955
40,Genome_Instability_And_Mutation,0.691,0.498,0.738
40,Tumor_Promoting_Inflammation,0.985,0.82,0.984
40,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
40,Evading_ImmuneDetection,0.504,0.456,0.56
41,Self_Sufficiency_In_Growth_Signals,1,1,1
41,Insensitivity_To_Antigrowth_Signals,1,1,1
41,Evading_Apoptosis,0.841,0.812,0.871
41,Limitless_Replicative_Potential,0.978,0.756,0.974
41,Sustained_Angiogenesis,1,1,1
41,Tissue_Invasion_And_Metastasis,1,1,1
41,Genome_Instability_And_Mutation,1,1,1
41,Tumor_Promoting_Inflammation,1,1,1
41,Reprogramming_Energy_Metabolism,0.927,0.604,0.919
41,Evading_ImmuneDetection,0.888,0.86,0.907
42,Self_Sufficiency_In_Growth_Signals,0.802,0.847,0.848
42,Insensitivity_To_Antigrowth_Signals,0.706,0.847,0.713
42,Evading_Apoptosis,0.841,0.717,0.871
42,Limitless_Replicative_Potential,1,1,1
42,Sustained_Angiogenesis,0.94,0.735,0.948
42,Tissue_Invasion_And_Metastasis,0.932,0.813,0.942
42,Genome_Instability_And_Mutation,0.908,0.932,0.919
42,Tumor_Promoting_Inflammation,0.757,0.484,0.774
42,Reprogramming_Energy_Metabolism,0.927,0.604,0.919
42,Evading_ImmuneDetection,0.723,0.5,0.774
43,Self_Sufficiency_In_Growth_Signals,1,1,1
43,Insensitivity_To_Antigrowth_Signals,1,1,1
43,Evading_Apoptosis,0.826,0.751,0.841
43,Limitless_Replicative_Potential,0.942,0.65,0.94
43,Sustained_Angiogenesis,0.733,0.665,0.747
43,Tissue_Invasion_And_Metastasis,1,1,1
43,Genome_Instability_And_Mutation,0.969,0.903,0.966
43,Tumor_Promoting_Inflammation,0.757,0.491,0.765
43,Reprogramming_Energy_Metabolism,0.982,0.585,0.979
43,Evading_ImmuneDetection,0.706,0.723,0.739
44,Self_Sufficiency_In_Growth_Signals,0.979,0.847,0.981
44,Insensitivity_To_Antigrowth_Signals,0.978,0.864,0.977
44,Evading_Apoptosis,0.398,0.428,0.448
44,Limitless_Replicative_Potential,0.701,0.605,0.677
44,Sustained_Angiogenesis,0.603,0.585,0.598
44,Tissue_Invasion_And_Metastasis,0.809,0.825,0.843
44,Genome_Instability_And_Mutation,0.588,0.747,0.655
44,Tumor_Promoting_Inflammation,0.553,0.388,0.641
44,Reprogramming_Energy_Metabolism,0.853,0.604,0.847
44,Evading_ImmuneDetection,0.719,0.723,0.755
45,Self_Sufficiency_In_Growth_Signals,1,1,1
45,Insensitivity_To_Antigrowth_Signals,1,1,1
45,Evading_Apoptosis,0.869,0.751,0.882
45,Limitless_Replicative_Potential,1,1,1
45,Sustained_Angiogenesis,1,1,1
45,Tissue_Invasion_And_Metastasis,0.947,0.88,0.955
45,Genome_Instability_And_Mutation,1,1,1
45,Tumor_Promoting_Inflammation,0.734,0.491,0.787
45,Reprogramming_Energy_Metabolism,1,1,1
45,Evading_ImmuneDetection,0.734,0.723,0.787
46,Self_Sufficiency_In_Growth_Signals,0.806,0.788,0.851
46,Insensitivity_To_Antigrowth_Signals,0.841,0.841,0.844
46,Evading_Apoptosis,0.869,0.611,0.882
46,Limitless_Replicative_Potential,1,1,1
46,Sustained_Angiogenesis,0.743,0.587,0.771
46,Tissue_Invasion_And_Metastasis,1,1,1
46,Genome_Instability_And_Mutation,1,1,1
46,Tumor_Promoting_Inflammation,0.882,0.746,0.907
46,Reprogramming_Energy_Metabolism,0.677,0.342,0.654
46,Evading_ImmuneDetection,0.882,0.746,0.907
47,Self_Sufficiency_In_Growth_Signals,0.742,0.915,0.768
47,Insensitivity_To_Antigrowth_Signals,0.812,0.915,0.839
47,Evading_Apoptosis,0.869,0.728,0.882
47,Limitless_Replicative_Potential,1,1,1
47,Sustained_Angiogenesis,0.696,0.701,0.742
47,Tissue_Invasion_And_Metastasis,0.83,0.886,0.864
47,Genome_Instability_And_Mutation,1,1,1
47,Tumor_Promoting_Inflammation,0.857,0.768,0.875
47,Reprogramming_Energy_Metabolism,1,1,1
47,Evading_ImmuneDetection,0.847,0.768,0.875
48,Self_Sufficiency_In_Growth_Signals,0.909,0.795,0.911
48,Insensitivity_To_Antigrowth_Signals,0.768,0.795,0.806
48,Evading_Apoptosis,0.494,0.467,0.572
48,Limitless_Replicative_Potential,0.677,0.605,0.653
48,Sustained_Angiogenesis,0.603,0.574,0.578
48,Tissue_Invasion_And_Metastasis,0.947,0.877,0.955
48,Genome_Instability_And_Mutation,0.68,0.747,0.679
48,Tumor_Promoting_Inflammation,0.844,0.611,0.852
48,Reprogramming_Energy_Metabolism,0.578,0.268,0.55
48,Evading_ImmuneDetection,0.71,0.449,0.636
49,Self_Sufficiency_In_Growth_Signals,1,1,1
49,Insensitivity_To_Antigrowth_Signals,0.792,0.915,0.816
