program,hallmark,linScore,wangScore,jiangScore
12,Limitless_Replicative_Potential,1,1,1
12,Sustained_Angiogenesis,1,1,1
12,Tissue_Invasion_And_Metastasis,1,1,1
12,Genome_Instability_And_Mutation,1,1,1
12,Tumor_Promoting_Inflammation,1,1,1
12,Reprogramming_Energy_Metabolism,1,1,1
12,Evading_ImmuneDetection,1,1,1
13,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
13,Insensitivity_To_Antigrowth_Signals,1,1,1
13,Evading_Apoptosis,0.869,0.751,0.882
13,Limitless_Replicative_Potential,0.797,0.614,0.772
13,Sustained_Angiogenesis,1,1,1
13,Tissue_Invasion_And_Metastasis,1,1,1
13,Genome_Instability_And_Mutation,0.932,0.835,0.93
13,Tumor_Promoting_Inflammation,1,1,1
13,Reprogramming_Energy_Metabolism,1,1,1
13,Evading_ImmuneDetection,0.914,0.86,0.922
15,Self_Sufficiency_In_Growth_Signals,1,1,1
15,Insensitivity_To_Antigrowth_Signals,1,1,1
15,Evading_Apoptosis,0.869,0.828,0.882
15,Limitless_Replicative_Potential,0.797,0.601,0.772
15,Sustained_Angiogenesis,1,1,1
15,Tissue_Invasion_And_Metastasis,1,1,1
15,Genome_Instability_And_Mutation,0.963,0.835,0.963
15,Tumor_Promoting_Inflammation,1,1,1
15,Reprogramming_Energy_Metabolism,1,1,1
15,Evading_ImmuneDetection,1,1,1
16,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
16,Insensitivity_To_Antigrowth_Signals,1,1,1
16,Evading_Apoptosis,0.494,0.448,0.572
16,Limitless_Replicative_Potential,1,1,1
16,Sustained_Angiogenesis,1,1,1
16,Tissue_Invasion_And_Metastasis,1,1,1
16,Genome_Instability_And_Mutation,1,1,1
16,Tumor_Promoting_Inflammation,1,1,1
16,Reprogramming_Energy_Metabolism,1,1,1
16,Evading_ImmuneDetection,1,1,1
17,Self_Sufficiency_In_Growth_Signals,1,1,1
17,Insensitivity_To_Antigrowth_Signals,1,1,1
17,Evading_Apoptosis,0.841,0.828,0.871
17,Limitless_Replicative_Potential,0.797,0.673,0.772
17,Sustained_Angiogenesis,1,1,1
17,Tissue_Invasion_And_Metastasis,1,1,1
17,Genome_Instability_And_Mutation,1,1,1
17,Tumor_Promoting_Inflammation,1,1,1
17,Reprogramming_Energy_Metabolism,1,1,1
17,Evading_ImmuneDetection,0.914,0.86,0.922
18,Self_Sufficiency_In_Growth_Signals,1,1,1
18,Insensitivity_To_Antigrowth_Signals,1,1,1
18,Evading_Apoptosis,0.841,0.751,0.871
18,Limitless_Replicative_Potential,1,1,1
18,Sustained_Angiogenesis,1,1,1
18,Tissue_Invasion_And_Metastasis,1,1,1
18,Genome_Instability_And_Mutation,0.908,0.833,0.919
18,Tumor_Promoting_Inflammation,1,1,1
18,Reprogramming_Energy_Metabolism,0.774,0.471,0.767
18,Evading_ImmuneDetection,1,1,1
20,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
20,Insensitivity_To_Antigrowth_Signals,1,1,1
20,Evading_Apoptosis,0.841,0.751,0.871
20,Limitless_Replicative_Potential,1,1,1
20,Sustained_Angiogenesis,1,1,1
20,Tissue_Invasion_And_Metastasis,1,1,1
20,Genome_Instability_And_Mutation,1,1,1
20,Tumor_Promoting_Inflammation,1,1,1
20,Reprogramming_Energy_Metabolism,1,1,1
20,Evading_ImmuneDetection,0.914,0.86,0.922
21,Self_Sufficiency_In_Growth_Signals,1,1,1
21,Insensitivity_To_Antigrowth_Signals,1,1,1
21,Evading_Apoptosis,0.869,0.751,0.882
21,Limitless_Replicative_Potential,0.896,0.756,0.889
21,Sustained_Angiogenesis,1,1,1
21,Tissue_Invasion_And_Metastasis,1,1,1
21,Genome_Instability_And_Mutation,0.946,0.835,0.943
21,Tumor_Promoting_Inflammation,1,1,1
21,Reprogramming_Energy_Metabolism,1,1,1
21,Evading_ImmuneDetection,1,1,1
22,Self_Sufficiency_In_Growth_Signals,1,1,1
22,Insensitivity_To_Antigrowth_Signals,1,1,1
22,Evading_Apoptosis,0.869,0.751,0.882
22,Limitless_Replicative_Potential,1,1,1
22,Sustained_Angiogenesis,1,1,1
22,Tissue_Invasion_And_Metastasis,1,1,1
22,Genome_Instability_And_Mutation,1,1,1
22,Tumor_Promoting_Inflammation,1,1,1
22,Reprogramming_Energy_Metabolism,1,1,1
22,Evading_ImmuneDetection,1,1,1
24,Self_Sufficiency_In_Growth_Signals,1,1,1
24,Insensitivity_To_Antigrowth_Signals,0.862,0.915,0.852
24,Evading_Apoptosis,0.826,0.751,0.841
24,Limitless_Replicative_Potential,0.716,0.498,0.712
24,Sustained_Angiogenesis,0.834,0.682,0.851
24,Tissue_Invasion_And_Metastasis,1,1,1
24,Genome_Instability_And_Mutation,0.876,0.543,0.872
24,Tumor_Promoting_Inflammation,1,1,1
24,Reprogramming_Energy_Metabolism,1,1,1
24,Evading_ImmuneDetection,0.826,0.84,0.854
25,Self_Sufficiency_In_Growth_Signals,1,1,1
25,Insensitivity_To_Antigrowth_Signals,0.932,0.915,0.93
25,Evading_Apoptosis,0.869,0.828,0.882
25,Limitless_Replicative_Potential,0.723,0.614,0.705
25,Sustained_Angiogenesis,1,1,1
25,Tissue_Invasion_And_Metastasis,1,1,1
25,Genome_Instability_And_Mutation,0.909,0.932,0.895
25,Tumor_Promoting_Inflammation,1,1,1
25,Reprogramming_Energy_Metabolism,1,1,1
25,Evading_ImmuneDetection,1,1,1
27,Self_Sufficiency_In_Growth_Signals,1,1,1
27,Insensitivity_To_Antigrowth_Signals,1,1,1
27,Evading_Apoptosis,0.841,0.689,0.871
27,Limitless_Replicative_Potential,1,1,1
27,Sustained_Angiogenesis,1,1,1
27,Tissue_Invasion_And_Metastasis,1,1,1
27,Genome_Instability_And_Mutation,1,1,1
27,Tumor_Promoting_Inflammation,1,1,1
27,Reprogramming_Energy_Metabolism,1,1,1
27,Evading_ImmuneDetection,1,1,1
28,Self_Sufficiency_In_Growth_Signals,0.74,0.847,0.772
28,Insensitivity_To_Antigrowth_Signals,0.812,0.847,0.839
28,Evading_Apoptosis,0.869,0.828,0.882
28,Limitless_Replicative_Potential,0.747,0.564,0.697
28,Sustained_Angiogenesis,1,1,1
28,Tissue_Invasion_And_Metastasis,1,1,1
28,Genome_Instability_And_Mutation,0.79,0.466,0.781
28,Tumor_Promoting_Inflammation,1,1,1
28,Reprogramming_Energy_Metabolism,0.579,0.389,0.551
28,Evading_ImmuneDetection,0.914,0.86,0.922
29,Self_Sufficiency_In_Growth_Signals,0.966,0.915,0.963
29,Insensitivity_To_Antigrowth_Signals,0.832,0.915,0.839
29,Evading_Apoptosis,0.869,0.611,0.882
29,Limitless_Replicative_Potential,0.56,0.601,0.572
29,Sustained_Angiogenesis,0.791,0.643,0.792
29,Tissue_Invasion_And_Metastasis,0.947,0.88,0.955
29,Genome_Instability_And_Mutation,0.963,0.66,0.963
29,Tumor_Promoting_Inflammation,1,1,1
29,Reprogramming_Energy_Metabolism,0.825,0.471,0.822
29,Evading_ImmuneDetection,0.882,0.746,0.907
30,Self_Sufficiency_In_Growth_Signals,1,1,1
30,Insensitivity_To_Antigrowth_Signals,0.837,0.915,0.839
30,Evading_Apoptosis,0.869,0.611,0.882
30,Limitless_Replicative_Potential,0.743,0.554,0.712
30,Sustained_Angiogenesis,1,1,1
30,Tissue_Invasion_And_Metastasis,1,1,1
30,Genome_Instability_And_Mutation,0.79,0.618,0.781
30,Tumor_Promoting_Inflammation,1,1,1
30,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
30,Evading_ImmuneDetection,0.847,0.831,0.875
32,Self_Sufficiency_In_Growth_Signals,1,1,1
32,Insensitivity_To_Antigrowth_Signals,1,1,1
32,Evading_Apoptosis,0.869,0.828,0.882
32,Limitless_Replicative_Potential,1,1,1
32,Sustained_Angiogenesis,1,1,1
32,Tissue_Invasion_And_Metastasis,1,1,1
32,Genome_Instability_And_Mutation,1,1,1
32,Tumor_Promoting_Inflammation,1,1,1
32,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
32,Evading_ImmuneDetection,0.71,0.632,0.747
34,Self_Sufficiency_In_Growth_Signals,0.842,0.847,0.847
34,Insensitivity_To_Antigrowth_Signals,0.978,0.847,0.977
34,Evading_Apoptosis,0.651,0.728,0.678
34,Limitless_Replicative_Potential,1,1,1
34,Sustained_Angiogenesis,0.834,0.659,0.851
34,Tissue_Invasion_And_Metastasis,1,1,1
34,Genome_Instability_And_Mutation,0.908,0.833,0.919
34,Tumor_Promoting_Inflammation,0.734,0.582,0.787
34,Reprogramming_Energy_Metabolism,0.678,0.396,0.663
34,Evading_ImmuneDetection,0.734,0.559,0.787
35,Self_Sufficiency_In_Growth_Signals,0.839,0.819,0.853
35,Insensitivity_To_Antigrowth_Signals,0.738,0.795,0.765
35,Evading_Apoptosis,0.748,0.689,0.798
35,Limitless_Replicative_Potential,0.797,0.635,0.772
35,Sustained_Angiogenesis,0.891,0.918,0.895
35,Tissue_Invasion_And_Metastasis,1,1,1
35,Genome_Instability_And_Mutation,0.806,0.932,0.809
35,Tumor_Promoting_Inflammation,0.806,0.629,0.787
35,Reprogramming_Energy_Metabolism,0.732,0.484,0.726
35,Evading_ImmuneDetection,0.734,0.639,0.794
36,Self_Sufficiency_In_Growth_Signals,1,1,1
36,Insensitivity_To_Antigrowth_Signals,1,1,1
36,Evading_Apoptosis,0.869,0.751,0.882
36,Limitless_Replicative_Potential,0.747,0.55,0.697
36,Sustained_Angiogenesis,0.877,0.701,0.887
36,Tissue_Invasion_And_Metastasis,1,1,1
36,Genome_Instability_And_Mutation,0.79,0.66,0.781
36,Tumor_Promoting_Inflammation,0.985,0.82,0.984
36,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
36,Evading_ImmuneDetection,0.914,0.86,0.922
37,Self_Sufficiency_In_Growth_Signals,1,1,1
37,Insensitivity_To_Antigrowth_Signals,0.932,0.885,0.93
37,Evading_Apoptosis,0.869,0.828,0.882
37,Limitless_Replicative_Potential,0.797,0.554,0.772
37,Sustained_Angiogenesis,0.921,0.643,0.931
37,Tissue_Invasion_And_Metastasis,1,1,1
37,Genome_Instability_And_Mutation,0.727,0.66,0.731
37,Tumor_Promoting_Inflammation,0.882,0.768,0.907
37,Reprogramming_Energy_Metabolism,0.732,0.391,0.726
37,Evading_ImmuneDetection,0.882,0.831,0.907
38,Self_Sufficiency_In_Growth_Signals,1,1,1
38,Insensitivity_To_Antigrowth_Signals,1,1,1
38,Evading_Apoptosis,0.869,0.828,0.882
38,Limitless_Replicative_Potential,0.896,0.756,0.889
38,Sustained_Angiogenesis,1,1,1
38,Tissue_Invasion_And_Metastasis,1,1,1
38,Genome_Instability_And_Mutation,0.963,0.835,0.963
38,Tumor_Promoting_Inflammation,1,1,1
38,Reprogramming_Energy_Metabolism,1,1,1
38,Evading_ImmuneDetection,0.914,0.86,0.922
39,Self_Sufficiency_In_Growth_Signals,1,1,1
39,Insensitivity_To_Antigrowth_Signals,1,1,1
39,Evading_Apoptosis,0.841,0.728,0.871
39,Limitless_Replicative_Potential,0.743,0.605,0.705
39,Sustained_Angiogenesis,1,1,1
39,Tissue_Invasion_And_Metastasis,1,1,1
39,Genome_Instability_And_Mutation,1,1,1
39,Tumor_Promoting_Inflammation,1,1,1
39,Reprogramming_Energy_Metabolism,1,1,1
39,Evading_ImmuneDetection,0.914,0.86,0.922
43,Self_Sufficiency_In_Growth_Signals,1,1,1
43,Insensitivity_To_Antigrowth_Signals,0.932,0.915,0.93
43,Evading_Apoptosis,0.869,0.828,0.882
43,Limitless_Replicative_Potential,0.896,0.756,0.889
43,Sustained_Angiogenesis,1,1,1
43,Tissue_Invasion_And_Metastasis,1,1,1
43,Genome_Instability_And_Mutation,0.839,0.932,0.84
43,Tumor_Promoting_Inflammation,1,1,1
43,Reprogramming_Energy_Metabolism,1,1,1
43,Evading_ImmuneDetection,0.914,0.86,0.922
50,Self_Sufficiency_In_Growth_Signals,0.84,0.915,0.854
50,Insensitivity_To_Antigrowth_Signals,1,1,1
50,Evading_Apoptosis,0.826,0.828,0.841
50,Limitless_Replicative_Potential,1,1,1
50,Sustained_Angiogenesis,1,1,1
50,Tissue_Invasion_And_Metastasis,1,1,1
50,Genome_Instability_And_Mutation,0.946,0.835,0.943
50,Tumor_Promoting_Inflammation,0.968,0.84,0.966
50,Reprogramming_Energy_Metabolism,1,1,1
50,Evading_ImmuneDetection,0.926,0.86,0.925
55,Self_Sufficiency_In_Growth_Signals,1,1,1
55,Insensitivity_To_Antigrowth_Signals,1,1,1
55,Evading_Apoptosis,0.748,0.467,0.798
55,Limitless_Replicative_Potential,0.797,0.55,0.772
55,Sustained_Angiogenesis,0.877,0.691,0.887
55,Tissue_Invasion_And_Metastasis,1,1,1
55,Genome_Instability_And_Mutation,0.79,0.66,0.781
55,Tumor_Promoting_Inflammation,1,1,1
55,Reprogramming_Energy_Metabolism,1,1,1
55,Evading_ImmuneDetection,0.914,0.86,0.922
58,Self_Sufficiency_In_Growth_Signals,1,1,1
58,Insensitivity_To_Antigrowth_Signals,1,1,1
58,Evading_Apoptosis,0.869,0.626,0.882
58,Limitless_Replicative_Potential,1,1,1
58,Sustained_Angiogenesis,0.791,0.725,0.792
58,Tissue_Invasion_And_Metastasis,1,1,1
58,Genome_Instability_And_Mutation,1,1,1
58,Tumor_Promoting_Inflammation,0.882,0.748,0.907
58,Reprogramming_Energy_Metabolism,1,1,1
58,Evading_ImmuneDetection,0.882,0.746,0.907
61,Self_Sufficiency_In_Growth_Signals,1,1,1
61,Insensitivity_To_Antigrowth_Signals,1,1,1
61,Evading_Apoptosis,0.869,0.611,0.882
61,Limitless_Replicative_Potential,0.978,0.756,0.974
61,Sustained_Angiogenesis,0.834,0.732,0.851
61,Tissue_Invasion_And_Metastasis,1,1,1
61,Genome_Instability_And_Mutation,1,1,1
61,Tumor_Promoting_Inflammation,1,1,1
61,Reprogramming_Energy_Metabolism,0.809,0.585,0.799
61,Evading_ImmuneDetection,0.998,0.86,0.997
68,Self_Sufficiency_In_Growth_Signals,0.804,0.915,0.849
68,Insensitivity_To_Antigrowth_Signals,1,1,1
68,Evading_Apoptosis,0.869,0.611,0.882
68,Limitless_Replicative_Potential,0.797,0.673,0.772
68,Sustained_Angiogenesis,1,1,1
68,Tissue_Invasion_And_Metastasis,1,1,1
68,Genome_Instability_And_Mutation,1,1,1
68,Tumor_Promoting_Inflammation,1,1,1
68,Reprogramming_Energy_Metabolism,0.946,0.616,0.942
68,Evading_ImmuneDetection,1,1,1
76,Self_Sufficiency_In_Growth_Signals,1,1,1
76,Insensitivity_To_Antigrowth_Signals,1,1,1
76,Evading_Apoptosis,0.869,0.611,0.882
76,Limitless_Replicative_Potential,1,1,1
76,Sustained_Angiogenesis,0.93,0.691,0.939
76,Tissue_Invasion_And_Metastasis,1,1,1
76,Genome_Instability_And_Mutation,1,1,1
76,Tumor_Promoting_Inflammation,0.968,0.84,0.966
76,Reprogramming_Energy_Metabolism,1,1,1
76,Evading_ImmuneDetection,0.978,0.84,0.97
85,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
85,Insensitivity_To_Antigrowth_Signals,1,1,1
85,Evading_Apoptosis,0.869,0.751,0.882
85,Limitless_Replicative_Potential,1,1,1
85,Sustained_Angiogenesis,1,1,1
85,Tissue_Invasion_And_Metastasis,1,1,1
85,Genome_Instability_And_Mutation,1,1,1
85,Tumor_Promoting_Inflammation,1,1,1
85,Reprogramming_Energy_Metabolism,1,1,1
85,Evading_ImmuneDetection,0.914,0.86,0.922
104,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
104,Insensitivity_To_Antigrowth_Signals,1,1,1
104,Evading_Apoptosis,0.826,0.751,0.841
104,Limitless_Replicative_Potential,1,1,1
104,Sustained_Angiogenesis,1,1,1
104,Tissue_Invasion_And_Metastasis,1,1,1
104,Genome_Instability_And_Mutation,0.908,0.833,0.919
104,Tumor_Promoting_Inflammation,1,1,1
104,Reprogramming_Energy_Metabolism,0.921,0.604,0.912
104,Evading_ImmuneDetection,1,1,1
118,Self_Sufficiency_In_Growth_Signals,0.941,0.915,0.942
118,Insensitivity_To_Antigrowth_Signals,0.862,0.915,0.857
118,Evading_Apoptosis,0.76,0.631,0.814
118,Limitless_Replicative_Potential,0.896,0.756,0.889
118,Sustained_Angiogenesis,0.94,0.735,0.948
118,Tissue_Invasion_And_Metastasis,1,1,1
118,Genome_Instability_And_Mutation,1,1,1
118,Tumor_Promoting_Inflammation,1,1,1
118,Reprogramming_Energy_Metabolism,0.935,0.604,0.931
118,Evading_ImmuneDetection,0.926,0.84,0.925
124,Self_Sufficiency_In_Growth_Signals,1,1,1
124,Insensitivity_To_Antigrowth_Signals,1,1,1
124,Evading_Apoptosis,0.869,0.828,0.882
124,Limitless_Replicative_Potential,0.896,0.756,0.889
124,Sustained_Angiogenesis,1,1,1
124,Tissue_Invasion_And_Metastasis,1,1,1
124,Genome_Instability_And_Mutation,0.946,0.835,0.943
124,Tumor_Promoting_Inflammation,1,1,1
124,Reprogramming_Energy_Metabolism,1,1,1
124,Evading_ImmuneDetection,1,1,1
128,Self_Sufficiency_In_Growth_Signals,0.979,0.915,0.981
128,Insensitivity_To_Antigrowth_Signals,1,1,1
128,Evading_Apoptosis,0.799,0.728,0.833
128,Limitless_Replicative_Potential,0.591,0.554,0.588
128,Sustained_Angiogenesis,1,1,1
128,Tissue_Invasion_And_Metastasis,0.957,0.825,0.964
128,Genome_Instability_And_Mutation,0.698,0.618,0.705
128,Tumor_Promoting_Inflammation,1,1,1
128,Reprogramming_Energy_Metabolism,0.727,0.403,0.7
128,Evading_ImmuneDetection,0.821,0.559,0.848
131,Self_Sufficiency_In_Growth_Signals,1,1,1
131,Insensitivity_To_Antigrowth_Signals,1,1,1
131,Evading_Apoptosis,0.869,0.828,0.882
131,Limitless_Replicative_Potential,1,1,1
131,Sustained_Angiogenesis,1,1,1
131,Tissue_Invasion_And_Metastasis,1,1,1
131,Genome_Instability_And_Mutation,1,1,1
131,Tumor_Promoting_Inflammation,1,1,1
131,Reprogramming_Energy_Metabolism,1,1,1
131,Evading_ImmuneDetection,1,1,1
137,Self_Sufficiency_In_Growth_Signals,1,1,1
137,Insensitivity_To_Antigrowth_Signals,1,1,1
137,Evading_Apoptosis,0.869,0.828,0.882
137,Limitless_Replicative_Potential,1,1,1
137,Sustained_Angiogenesis,1,1,1
137,Tissue_Invasion_And_Metastasis,1,1,1
137,Genome_Instability_And_Mutation,1,1,1
137,Tumor_Promoting_Inflammation,1,1,1
137,Reprogramming_Energy_Metabolism,1,1,1
137,Evading_ImmuneDetection,1,1,1
140,Self_Sufficiency_In_Growth_Signals,1,1,1
140,Insensitivity_To_Antigrowth_Signals,1,1,1
140,Evading_Apoptosis,0.869,0.828,0.882
140,Limitless_Replicative_Potential,1,1,1
140,Sustained_Angiogenesis,1,1,1
140,Tissue_Invasion_And_Metastasis,1,1,1
140,Genome_Instability_And_Mutation,1,1,1
140,Tumor_Promoting_Inflammation,1,1,1
140,Reprogramming_Energy_Metabolism,1,1,1
140,Evading_ImmuneDetection,1,1,1
142,Self_Sufficiency_In_Growth_Signals,1,1,1
142,Insensitivity_To_Antigrowth_Signals,1,1,1
142,Evading_Apoptosis,0.841,0.701,0.871
142,Limitless_Replicative_Potential,0.64,0.601,0.588
142,Sustained_Angiogenesis,1,1,1
142,Tissue_Invasion_And_Metastasis,0.957,0.88,0.964
142,Genome_Instability_And_Mutation,0.963,0.66,0.963
142,Tumor_Promoting_Inflammation,1,1,1
142,Reprogramming_Energy_Metabolism,1,1,1
142,Evading_ImmuneDetection,1,1,1
144,Self_Sufficiency_In_Growth_Signals,0.943,0.915,0.942
144,Insensitivity_To_Antigrowth_Signals,1,1,1
144,Evading_Apoptosis,0.869,0.689,0.882
144,Limitless_Replicative_Potential,1,1,1
144,Sustained_Angiogenesis,0.94,0.735,0.948
144,Tissue_Invasion_And_Metastasis,1,1,1
144,Genome_Instability_And_Mutation,1,1,1
144,Tumor_Promoting_Inflammation,1,1,1
144,Reprogramming_Energy_Metabolism,1,1,1
144,Evading_ImmuneDetection,1,1,1
155,Self_Sufficiency_In_Growth_Signals,1,1,1
155,Insensitivity_To_Antigrowth_Signals,1,1,1
155,Evading_Apoptosis,0.869,0.644,0.882
155,Limitless_Replicative_Potential,1,1,1
155,Sustained_Angiogenesis,1,1,1
155,Tissue_Invasion_And_Metastasis,1,1,1
155,Genome_Instability_And_Mutation,1,1,1
155,Tumor_Promoting_Inflammation,1,1,1
155,Reprogramming_Energy_Metabolism,1,1,1
155,Evading_ImmuneDetection,1,1,1
161,Self_Sufficiency_In_Growth_Signals,1,1,1
161,Insensitivity_To_Antigrowth_Signals,1,1,1
161,Evading_Apoptosis,0.869,0.751,0.882
161,Limitless_Replicative_Potential,0.752,0.673,0.738
161,Sustained_Angiogenesis,0.738,0.666,0.753
161,Tissue_Invasion_And_Metastasis,0.957,0.825,0.964
161,Genome_Instability_And_Mutation,1,1,1
161,Tumor_Promoting_Inflammation,1,1,1
161,Reprogramming_Energy_Metabolism,1,1,1
161,Evading_ImmuneDetection,1,1,1
165,Self_Sufficiency_In_Growth_Signals,0.839,0.915,0.853
165,Insensitivity_To_Antigrowth_Signals,0.853,0.915,0.857
165,Evading_Apoptosis,0.774,0.812,0.811
165,Limitless_Replicative_Potential,0.797,0.554,0.772
165,Sustained_Angiogenesis,1,1,1
165,Tissue_Invasion_And_Metastasis,1,1,1
165,Genome_Instability_And_Mutation,0.727,0.66,0.731
165,Tumor_Promoting_Inflammation,1,1,1
165,Reprogramming_Energy_Metabolism,0.677,0.643,0.642
165,Evading_ImmuneDetection,1,1,1
168,Self_Sufficiency_In_Growth_Signals,0.756,0.796,0.8
168,Insensitivity_To_Antigrowth_Signals,0.677,0.73,0.696
168,Evading_Apoptosis,0.76,0.467,0.811
168,Limitless_Replicative_Potential,1,1,1
168,Sustained_Angiogenesis,1,1,1
168,Tissue_Invasion_And_Metastasis,1,1,1
168,Genome_Instability_And_Mutation,1,1,1
168,Tumor_Promoting_Inflammation,0.726,0.43,0.742
168,Reprogramming_Energy_Metabolism,0.77,0.408,0.755
168,Evading_ImmuneDetection,0.544,0.388,0.623
169,Self_Sufficiency_In_Growth_Signals,1,1,1
169,Insensitivity_To_Antigrowth_Signals,0.932,0.847,0.93
169,Evading_Apoptosis,0.774,0.701,0.814
169,Limitless_Replicative_Potential,1,1,1
169,Sustained_Angiogenesis,1,1,1
169,Tissue_Invasion_And_Metastasis,1,1,1
