CMF_ID,CMFlow,Mutation,Pathway,MutationSymbol,RegulatorSymbol,Regulon,MutationEnsembl,RegulatorEnsembl,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons,CMFlowType
CMF-31442,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_TP53_up_1776,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,TP53,1776,NA,ENSG00000141510,1,1.5299875818757396,0.3461617634801988,7.164278224062914e-17,2.045310519980734,1.3648431470601172,1,0.3076923076923077,13,4,Mutated Pathway
CMF-31443,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_TP53_up_1778,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,TP53,1778,NA,ENSG00000141510,1,1.5299875818757396,0.3570823395377968,6.353559353299427e-18,2.445066630151941,1.7970439554519808,1,0.3076923076923077,13,4,Mutated Pathway
CMF-31446,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_MAF_up_184,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,MAF,184,NA,ENSG00000178573,1,2.280289772599691,0.4531010540667795,4.2591906544578275e-29,2.143962758958206,1.4696692955401955,1,0.1052631578947368,19,2,Mutated Pathway
CMF-31448,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF7_up_2479,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF7,2479,NA,ENSG00000276561,1,1.3207002876443072,0.3450568210778647,9.106621833887871e-17,2.923371171273877,2.3779360338807107,1,0.238095238095238,21,5,Mutated Pathway
CMF-31449,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF7_up_2482,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF7,2482,NA,ENSG00000276561,1,1.3207002876443072,0.5774701857693073,4.704364718951399e-50,3.3675105078101466,2.9846212514836017,1,0.238095238095238,21,5,Mutated Pathway
CMF-31450,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF7_up_2485,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF7,2485,NA,ENSG00000276561,1,1.3207002876443072,0.2526780068918713,1.983513975470227e-9,2.85659153818755,2.297382463141347,1,0.238095238095238,21,5,Mutated Pathway
CMF-31451,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF7_up_2476,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF7,2476,NA,ENSG00000276561,1,1.3207002876443072,0.5832755632140006,2.9069844001722155e-51,1.994159118741147,1.314298243121156,1,0.238095238095238,21,5,Mutated Pathway
CMF-31452,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_IRF7_up_2484,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,IRF7,2484,NA,ENSG00000276561,1,1.3207002876443072,0.2969555493477135,1.2807443521792497e-12,2.6937730474462755,2.093994336028665,1,0.238095238095238,21,5,Mutated Pathway
CMF-31456,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_FEV_dn_3033,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,FEV,3033,NA,ENSG00000163497,-1,2.140093070198284,-0.2656749305681232,2.6326637274966356e-10,2.0697933443561807,1.3891287013520095,1,0.2,5,1,Mutated Pathway
CMF-31459,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_TEAD3_up_2105,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,TEAD3,2105,NA,ENSG00000007866,1,2.4028354730422885,0.5335449881750819,1.214004678852307e-41,2.259678089034634,1.5901408944574391,1,0.1333333333333333,15,2,Mutated Pathway
CMF-31461,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_MEOX2_up_2196,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,MEOX2,2196,NA,ENSG00000106511,1,2.015535414772091,0.3865662833822511,5.647822511674906e-21,2.7170647767050347,2.111614432935528,1,0.2142857142857142,14,3,Mutated Pathway
CMF-31463,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_MEOX2_up_2199,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,MEOX2,2199,NA,ENSG00000106511,1,2.015535414772091,0.3282088010817104,3.1429806977587704e-15,2.814124925801918,2.237725057902737,1,0.2142857142857142,14,3,Mutated Pathway
CMF-31467,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_STAT5A_up_2940,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,STAT5A,2940,NA,ENSG00000126561,1,3.017881884200212,0.5569341388555225,5.7705157060300484e-46,2.144256967080381,1.4652972244100022,1,0.1904761904761904,21,4,Mutated Pathway
CMF-31468,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_STAT5A_up_2945,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,STAT5A,2945,NA,ENSG00000126561,1,3.017881884200212,0.5468429441009107,4.657683886064093e-44,2.5127860504226547,1.8759505195154995,1,0.1904761904761904,21,4,Mutated Pathway
CMF-31471,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_SP1_up_1376,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,SP1,1376,NA,ENSG00000185591,1,1.571766233908297,0.1943324833159385,4.592792667883687e-6,2.0002470571480746,1.318767082168978,1,0.125,8,1,Mutated Pathway
CMF-31477,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_LHX5_dn_3061,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,LHX5,3061,NA,ENSG00000089116,-1,1.4363661295663073,-0.2763224286043998,4.6304638721060306e-11,3.172558188835657,2.69542562904571,1,0.2727272727272727,11,3,Mutated Pathway
CMF-31482,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_TEF_dn_2660,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,TEF,2660,NA,ENSG00000167074,-1,2.8311958929558023,-0.3088105830629313,1.4243048031651916e-13,2.6191319586723583,1.998738393709415,1,0.3333333333333333,15,5,Mutated Pathway
CMF-31484,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_TEF_dn_2656,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,TEF,2656,NA,ENSG00000167074,-1,2.8311958929558023,-0.2692209335724203,1.4883099319896094e-10,2.49700726131707,1.8553261155907848,1,0.3333333333333333,15,5,Mutated Pathway
CMF-31486,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_TEF_dn_2659,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,TEF,2659,NA,ENSG00000167074,-1,2.8311958929558023,-0.2144542041734928,4.023134545220901e-7,2.488413438954521,1.8457333837469905,1,0.3333333333333333,15,5,Mutated Pathway
CMF-31487,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_SP3_up_3423,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,SP3,3423,NA,ENSG00000172845,1,2.184086744968192,0.1683781132880608,7.465384946965379e-5,2.0714808492659365,1.3921268513530716,1,0.25,12,3,Mutated Pathway
CMF-31490,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_MYCN_dn_1807,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,MYCN,1807,NA,ENSG00000134323,-1,1.3473946749454306,-0.436735976955246,6.279389245335047e-27,1.995617920580455,1.3148712128836078,1,0.2,5,1,Mutated Pathway
CMF-31491,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_dn_SCRT1_dn_109,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,SCRT1,109,NA,ENSG00000261678,-1,1.3225768226087569,-0.2764584097882017,4.5265870704530514e-11,2.166136062419616,1.4880922596486388,1,0.25,4,1,Mutated Pathway
CMF-31494,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_up_MAX_up_3501,SIGNALING_EVENTS_MEDIATED_BY_TCPTP_PID_NCI_NATURE_nonsilent_somatic,SIGNALING_EVENTS_MEDIATED_BY_TCPTP,NA,MAX,3501,NA,ENSG00000125952,1,1.321203268482461,0.3639087295554118,1.3313797382120963e-18,2.432505152052049,1.7816874493608874,1,0.1666666666666666,18,3,Mutated Pathway
CMF-31500,EGF_RECEPTOR_SIGNALING_PATHWAY_up_IRF2_up_417,EGF_RECEPTOR_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,EGF_RECEPTOR_SIGNALING_PATHWAY,NA,IRF2,417,ENSG00000138798,ENSG00000168310,1,1.9159132798162943,0.3914883194251179,1.6273788437504803e-21,2.321132870466223,1.6513196477100114,1,0.36,25,9,Mutated Pathway
CMF-31501,EGF_RECEPTOR_SIGNALING_PATHWAY_up_IRF2_up_426,EGF_RECEPTOR_SIGNALING_PATHWAY_PID_NCI_NATURE_nonsilent_somatic,EGF_RECEPTOR_SIGNALING_PATHWAY,NA,IRF2,426,ENSG00000138798,ENSG00000168310,1,1.9159132798162943,0.3405319751138941,2.4082569349781315e-16,2.3575576024538285,1.695881007673689,1,0.36,25,9,Mutated Pathway
